SystemID,Function,Produktbezeichnung,Produkttyp,Hersteller,Artikelnummer,Lieferformat,LeistungserklärungNr,Bezeichnung_nach_SIA,Anwendung_nach_SIA,Material,Wärmeleitfähigkeit,Gefälle,Mindestdicke,sd_Wert,Flächenbezogene_Masse,Druckfestigkeit,Wasserspeichervermögen,Brandverhalten,Brandverhaltensgruppe,Spezifische_Wärmekapazität,Rohdichte,Diffusionswiderstandszahl,Wärmestandfestigkeit,Kaltbiegeverhalten,Verbrauch,MaximaleBenutzerzahl,Überprüfungsintervall,MaximalePrüflast,Kostencode,Kostenbezeichnung,Preisbasis,Preisstand,Einheitspreis
4,01_Unterkonstruktion,Holzwerkstoffplatte im Gefälle 1.5%,Unterkonstruktion Holz,,,,,Unterkonstruktion Holz,Unterkonstruktion Holz im Gefälle,Holzwerkstoff,0.13,1.5,0,0,0,0,0,A2-s1-d0,5.1,1.6,600,200,0,0,0,0,0,0,BKP 271.1,Unterkonstruktion Holz,m²,,
4,06_Unterbahn,BIKUPLAN LL VARIO Stria,Unterbahn,swisspor,100088,10 x 1.0 m Rolle,DoP-104002,Unterbahn SIA 271,Untere Abdichtungslage gerippt,Elastomerbitumen Glasvlies gerippt,0,0,4.0,130,4.8,0,0,E,5.2,0,0,0,100,-20,0,0,0,0,BKP 271.6,Unterbahn Stria,m²,,
4,07_Oberbahn,BIKUTOP LL FORTE,Oberbahn,swisspor,100132,7 x 1.1 m Rolle,DoP-104003,Oberbahn SIA 271,Obere Abdichtungslage beschiefert,Elastomerbitumen Polyestervlies,0,0,5.3,250,6.0,0,0,E,5.2,0,0,0,120,-20,0,0,0,0,BKP 271.7,Oberbahn,m²,,
4,08_Trennschicht,TPO Schutz-/Wurzelschutzbahn,Trennschicht,swisspor,103501,20 x 1.5 m Rolle,DoP-104004,Trennschicht SIA 271,Trenn- und Wurzelschutzbahn,TPO Thermoplastisches Polyolefin,0,0,1.5,0,1.8,0,0,E,5.2,0,0,0,0,0,0,0,0,0,BKP 271.8,Trennschicht TPO,m²,,
4,14_Brandschutzschicht,Brandschutzvlies 125 g/m2,Brandschutzschicht,swisspor,100169,50 x 1.0 m Rolle,DoP-104005,Brandschutzschicht,Brandschutzschicht Flachdach,Mineralwolle Glasvlies,0,0,0,0,0.125,0,0,A1,6.1,0,0,0,0,0,0,0,0,0,BKP 271.9,Brandschutzschicht,m²,,
4,16_Belag,Begehbar offener Belag,Belagsystem offen,,,,,Belag offen,Begehbarer offener Belag auf Stelzlagern,Holz/Verbundwerkstoff,0,0,0,0,0,0,0,A2-s1-d0,5.1,0,0,0,0,0,0,0,0,0,BKP 271.10,Belag offen,m²,,
